Nomina del dia: 1/6/2023
| N° Empleado  | Nombre               | Sexo | Puesto             | Sueldo Bruto | Bono       | Impuestos  | Sueldo Total |
| 23042145     | Valentina Lopez      | F    | Empleado Comision  | 4061.1       | 0.0        | 121.83     | 3939.27      |
| 23042677     | Fernando Saldaña     | M    | Empleado Comision  | 2527.8       | 0.0        | 75.83      | 2451.97      |
| 23042865     | Dara Heraz           | F    | Empleado Comision  | 2671.0       | 0.0        | 80.13      | 2590.87      |
| 23043118     | Kevin Ojeda          | M    | Empleado Comision  | 2355.6       | 0.0        | 70.67      | 2284.93      |
| 23043498     | Jesus Garcia         | M    | Empleado Comision  | 6371.1       | 500.0      | 191.13     | 6179.97      |
| 23044670     | Ana Garcia           | F    | Empleado Comision  | 3044.7       | 0.0        | 91.34      | 2953.36      |
| 23045847     | Sofia Rivas          | F    | Empleado Comision  | 6360.4       | 500.0      | 190.81     | 6169.59      |
| 23045965     | Eidi Rivas           | F    | Empleado Comision  | 3626.1       | 0.0        | 108.78     | 3517.32      |
| 23046867     | Julieta Garcia       | F    | Empleado Comision  | 6066.1       | 500.0      | 181.98     | 5884.12      |
| 23047697     | Joseline Rojas       | F    | Empleado Comision  | 3446.9       | 0.0        | 103.41     | 3343.49      |
| 23048248     | Jesus Lopez          | M    | Empleado Comision  | 5526.8       | 500.0      | 165.8      | 5361.0       |
| 23048393     | Melania Rojas        | F    | Empleado Comision  | 5568.1       | 500.0      | 167.04     | 5401.06      |
| 23049006     | Alfredo Camino       | M    | Empleado Comision  | 2266.9       | 0.0        | 68.01      | 2198.89      |
| 23049443     | Fernanda Garcia      | F    | Empleado Comision  | 6018.4       | 500.0      | 180.55     | 5837.85      |
